nazwa,lokalizacja,url,ilosc_samochodow,srednia_cena,sredni_wiek
srokaty26,Suwałki,https://allegro.pl/uzytkownik/srokaty26,1,11999.0,2004.0
automaniacsc,Bliżyn,https://allegro.pl/uzytkownik/automaniacsc,4,26575.0,2007.25
MARKOAJLEND,Szaflary,https://allegro.pl/uzytkownik/MARKOAJLEND,1,37900.0,2009.0
boro1976,Dębica,https://allegro.pl/uzytkownik/boro1976,1,15500.0,2006.0
microauto,Ziębice,https://allegro.pl/uzytkownik/microauto,1,9000.0,1999.0
DRAGON7812,Płock,https://allegro.pl/uzytkownik/DRAGON7812,19,21531.58,2008.58
szczeliniec1,Kudowa zdrój,https://allegro.pl/uzytkownik/szczeliniec1,1,17600.0,2007.0
mistergrabek,Skaryszew,https://allegro.pl/uzytkownik/mistergrabek,4,34775.0,2008.25
violciaa1991,Brańsk,https://allegro.pl/uzytkownik/violciaa1991,1,10500.0,2006.0
P22030,Żory,https://allegro.pl/uzytkownik/P22030,1,25900.0,2013.0
SP_TRANS,Łazy,https://allegro.pl/uzytkownik/SP_TRANS,4,18375.0,2007.25
Client:23741272,Choroszcz,https://allegro.pl/uzytkownik/Client:23741272,2,13200.0,2004.0
robertrobert17,Pruszków,https://allegro.pl/uzytkownik/robertrobert17,1,24780.0,2011.0
TomaszSuperCars,Radom,https://allegro.pl/uzytkownik/TomaszSuperCars,16,30775.0,2010.06
musti701,Kutno,https://allegro.pl/uzytkownik/musti701,89,23783.15,2007.69
RecAuto,Świdnica,https://allegro.pl/uzytkownik/RecAuto,10,15806.0,2002.3
autozde,Pionki,https://allegro.pl/uzytkownik/autozde,33,48406.06,2009.97
All4Car-Parts,Myszków,https://allegro.pl/uzytkownik/All4Car-Parts,1,8999.0,2005.0
radoslaw1987xxx,Turek,https://allegro.pl/uzytkownik/radoslaw1987xxx,2,3999.0,2003.0
aleks-love,Płock,https://allegro.pl/uzytkownik/aleks-love,1,220000.0,2016.0
auto--club,Gniezno,https://allegro.pl/uzytkownik/auto--club,67,48889.55,2014.72
BestCarsAdam12,Radom,https://allegro.pl/uzytkownik/BestCarsAdam12,40,26500.0,2009.05
supercar24_pl,Długołęka,https://allegro.pl/uzytkownik/supercar24_pl,376,65081.43,2014.53
ALFA-KAR,Kielce,https://allegro.pl/uzytkownik/ALFA-KAR,1,27999.0,2008.0
Matys1984_2006,Grodzisk wlkp,https://allegro.pl/uzytkownik/Matys1984_2006,5,41800.0,2011.0
carchelm,22-100 chełm,https://allegro.pl/uzytkownik/carchelm,12,21725.0,2006.75
-jakubek-,Izbica kujawska,https://allegro.pl/uzytkownik/-jakubek-,1,24000.0,2007.0
ALMAX-SC,Sosnowiec,https://allegro.pl/uzytkownik/ALMAX-SC,9,26455.56,2009.0
irciak1,Halinów,https://allegro.pl/uzytkownik/irciak1,9,26900.0,2005.44
diablo619,Warszawa,https://allegro.pl/uzytkownik/diablo619,1,66400.0,2014.0
wojtek_2066,Tarnowskie góry,https://allegro.pl/uzytkownik/wojtek_2066,5,43500.0,2010.0
Wardi111,Dąbrowa górnicza,https://allegro.pl/uzytkownik/Wardi111,3,10100.0,2005.33
GF44,Rywałd,https://allegro.pl/uzytkownik/GF44,28,22992.82,2009.07
AAAAUTOPL,Bielany wrocławskie,https://allegro.pl/uzytkownik/AAAAUTOPL,1655,34084.89,2011.35
789456123_43,Sulechów,https://allegro.pl/uzytkownik/789456123_43,6,21900.0,2006.67
-visio-2,Gubin,https://allegro.pl/uzytkownik/-visio-2,6,6548.17,2000.67
oponea,Męcina,https://allegro.pl/uzytkownik/oponea,1,19700.0,2007.0
SZERMUSZYN,Wilkanowo,https://allegro.pl/uzytkownik/SZERMUSZYN,23,47086.0,2011.3
